Name,Description,Footprint,Manufacturer,MPN,Storage,Total Stock,URL,Meta-Parts,Lead-Times
FFSD-15-01-N,Conn IDC Connector SKT 30 POS 1.27mm IDT RA Side Entry Cable Mount Tube,,Samtec,FFSD-15-01-N,shelf2,8,https://PARTSBOX.COM/IF3RQZVY690H30981EGN79XNAG5,,8
LED-RED-5MM (TLHR5400),"LED, 5MM, Red",,Vishay Semiconductor Opto Division,TLHR5400,shelf4,52,https://PARTSBOX.COM/I8YFP7W8V0TJWKAM7FCWXCAAGB6,,9
RCHIP-49R9-0603,Res Thick Film 0603 49.9 Ohm,,,,,3219,https://PARTSBOX.COM/I2TPGKGWS0PJR4AWYGG0K9ME0H6,,10
RCHIP-27R-0402 (RC1005F270CS),Res Thick Film 0402 27 Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD T/R,,Samsung,RC1005F270CS,Office 9,1000,https://PARTSBOX.COM/IES5SBW3ZYGKWA9G7VP0JYJFSHP,,1
ADR5040BKSZ-REEL7,"IC, Volt Reference, Fixed, 2.048V, Bipolar, TSSOP, 3PIN, Plastic",,Analog Devices,ADR5040BKSZ-REEL7,Office 9,215,https://PARTSBOX.COM/ICVBE9MTED0KX6BDSHFMEH20V7G,,1
CCHIP-100n-0603-25V (CL10B104KA8NNNC),Capacitor: ceramic; MLCC; 100nF; 25V; X7R; ±10%; SMD; 0603; -55÷125°C,603,Samsung,CL10B104KA8NNNC,,0,https://PARTSBOX.COM/ICJVK3TWWVYK8D9P0TEQ6M53M6Y,,1
NBOX-BROWN-18X15X10,BROWN BOX,,,,large storage room,31,https://PARTSBOX.COM/I09XPZKRARMHBCAX8G1MCQ1HN0D,,1
38842,BLACK BOX (PROTEKTIVE PAK): PROTECTIVE PACK (DESCO INDUSTRIES),,,,,0,https://PARTSBOX.COM/I60SBERBNJYGWY91JG3GVK1QFZ8,,1
NPCA-CW1200LCD-05 (),Front panel PCA for CW1200 (including LCD mounted),,,,shelf2,7,https://PARTSBOX.COM/I2YYHCH3M82HNK9E29TGEXFEN63,,1
XC6SLX9-2TQG144I,FPGA Spartan-6 LX Family 9152 Cells 45nm (CMOS) Technology 1.2V 144-Pin TQFP,,Xilinx,XC6SLX9-2TQG144I,,0,https://PARTSBOX.COM/I6G3X0VH2C4J0R96FWQ9VF1SPVS,XC6SLX9-2TQG144,1
NBOX-SMALL-ORANGE,with PROP65 Warning Label printed (small orange box for UFO targets),,,,large storage room,1884,https://PARTSBOX.COM/I36VNGMV82WKWD8GCRV9TY2Z8BZ,,1
BLACK (20 AWG wire ) (78-22040),"120mm long, BLACK",,,78-22040,shelf2,1,https://PARTSBOX.COM/I4KAMPEGV06KD4B62WDZBQWJ87Z,,1
UFW1C471MPD,CAP ALUM 470UF 20% 16V RADIAL,,Nichicon,UFW1C471MPD,shelf3,1,https://PARTSBOX.COM/I5VZ85XX4E2JCZAWJKJK7T4MV2Z,,1
CUSTOMIZED JIG (RED)  [A],Built in house,,,,,0,https://PARTSBOX.COM/ICC9RAA0XXGGYWA0TW7VADGYN2P,,1
RCHIP-1R-0805 (ERJ-6BQF1R0V),Res Thick Film 0805 1 Ohm 1% 0.33W ±200ppm/°C Molded SMD Punched Carrier T/R,,Panasonic,ERJ-6BQF1R0V,Office 9,688,https://PARTSBOX.COM/IBMZPMT4M8GHXHBD1HT15NVHQCZ,,1
MAROON/RED END PANEL (B),CHIPSHOUTER END COVER B,,,,shelf3,12,https://PARTSBOX.COM/I0NHH9WCS5AGRBBS4JY2CFZSJMD,,1
768662,18GA purple wire 30m,,Techspan,,shelf4,1,https://PARTSBOX.COM/I9Z757J6TR6HN99YBBEG84JF5VC,,1
NAE-CWBO-02,20-Pin Breakout Board,,,,,0,https://PARTSBOX.COM/IDEV19PZ6SJK1CBFZ6B9HB1R9NF,,1
SCREW-M3-10mm  (91292A113) (91292A113),"18-8 Stainless Steel Socket Head Screw, M3 x 0.5 mm Thread, 10 mm Long",,mcmaster-carr,91292A113,shelf3,646,https://PARTSBOX.COM/I3N8QC2H03RGQD94T1748VDN3VX,,2
PLP2-250,LIGHT PIPE PNL MNT 6.4MM LONG,,Bivar,PLP2-250,shelf2,24,https://PARTSBOX.COM/I93RE7M6ZYJJ9PAB0Z9NDTQ48X7,,2
NPART: CW310 Axial Fan (MR3010H05B1-RSR),,,,MR3010H05B1-RSR,shelf3,9,https://PARTSBOX.COM/I3A6W56T7JYH3BASFYSFET05662,,2
NPCB-AURIX-03,UFO TARGET AURIX-03,,,,,0,https://PARTSBOX.COM/I7K365YK6XEG8ZAA8210WXB2WGS,,2
SN74AUP1G74DCUR,Low-Power Single Positive-Edge-Triggered D-Type Flip-Flop 8-VSSOP -40 to 85,VSSOP -40,Texas Instruments,SN74AUP1G74DCUR,"Office 9,SMDREELRACK",332,https://PARTSBOX.COM/I0WZ85QVH1WHRR89JRB895C1KA6,,2
A-DS-09-A/KG-T2S (A-DS 09 A/KG-T2S),9 Position Dual Row Right Angle Through Hole Plug Male Pins D-Sub Connector,,ASSMANN WSW Components,A-DS 09 A/KG-T2S,shelf3,4,https://PARTSBOX.COM/I42BDAJTC80GB18NA6PFZ3TD4JQ,,2
NAE-CW310-K410T-NORM,CW310-K410T Kit - NORMAL (COMPLETE KIT)  includes acc pack for K410T (spare fan),,,,shelf5,2,https://PARTSBOX.COM/IF3S9YSNYR4G2W9W48AEZQCMS5X,,2
MX25L3233FM1I-08Q,CMOS MXSMIO (Serial Multi I/O) Flash Memory 32Mbit Capacity 32Mx1bit/16Mx2bit/8Mx4bit Organization 133MHz Clock Speed 3V Supply Voltage Surface Mount 8-Pin SOP Tray,,Macronix,MX25L3233FM1I-08Q,Office 9,980,https://PARTSBOX.COM/I3B78RZ96XRGPC9W4EWNHGC7Q4T,,2
SCREW-4-40-1/2-CAPHEAD (92196A110),"18-8 Stainless Steel Socket Head Screw 4-40 Thread Size, 1/2"" Long",,McMaster Carr,92196A110,,0,https://PARTSBOX.COM/I40YF6HX220JP19PBB117QFA5EG,,2
DNM (61300311121),"Board-To-Board Connector, Vertical, Wr-Phd Series, Through Hole, Header, 3, 2.54 Mm",,Wurth Elektronik,61300311121,,0,https://PARTSBOX.COM/I7JKNXK88JMH3RBAETAD5D04ZK6,,2
MK82FN256VLL15,"Kinetis K82: 150MHz Cortex-M4F Secure MCU, 256KB Flash, 256KB SRAM, Full-Speed USB, 100-LQFP",,NXP Semiconductors,MK82FN256VLL15,Office 9,161,https://PARTSBOX.COM/I786DFYGA6CHR4B749XE4DE5QT0,,2
1591MBK,Hammond Black Flame Retardant ABS Plastic (3.30 x 2.20 x 0.80) Enclosure with No Flange,,Hammond,1591MBK,shelf3,3,https://PARTSBOX.COM/I3DE4ZJFX36J1XBT4VY7G916PXQ,,2
TPS54519RTER,"2.95V to 6V Input, 5A Synchronous Step-Down Converter 16-WQFN -40 to 140",,Texas Instruments,TPS54519RTER,Office 9,3000,https://PARTSBOX.COM/I11E7N7M27JHKA91D2EVCPKBQCW,,2
3-747579-2,Insulated Ferrule 8C Smoke Gray Copper/Tin-Plated Contact Steel Insulation 1000 Bag,,TE Connectivity,3-747579-2,shelf2,14,https://PARTSBOX.COM/ICDRP5FYQXTJJ8AHT6A8YZW9JJ5,,3
10uH-0603 (MLZ1608N100LT000),Inductor Power Shielded Multi-Layer 10uH 20% 2MHz Ferrite 300mA 780mOhm DCR 0603 Punched Paper T/R,603,TDK,MLZ1608N100LT000,Office 9,50,https://PARTSBOX.COM/I53781V03Q4HJ09HBZXSC1RTGKH,,3
RCHIP-240R-1206 (ERJ-8ENF2400V),Res Thick Film 1206 240 Ohm 1% 0.25W(1/4W) }100ppm/C Molded SMD Automotive Punched T/R,1206,Panasonic,ERJ-8ENF2400V,shelf3,126,https://PARTSBOX.COM/I2TCV93BC6JKV49F2P51BT9PQXN,,3
1734723-1,Conn RJ-25 F 6 POS 1.02mm Solder RA Thru-Hole 6 Terminal 1 Port Cat 3 Box/Tray,,TE Connectivity,1734723-1,shelf3,2,https://PARTSBOX.COM/I6RYJW17KACJP38G0JTDJ46NZ5K,,3
0297002.WXNV,Fuse Blade Fast Acting 2A 32V Holder QuickConnect 10.9 X 3.8 X 8.8mm Polyamide 66 UL,,Littelfuse,0297002.WXNV,shelf2,40,https://PARTSBOX.COM/I9GX029RAVYG4GAB8KPT23VQY3Z,,3
AP2151AW-7,AP2151A Series 5.5 V 0.5 A Single Channel Current Limited Power Switch - SOT-23-,,Diodes Inc.,AP2151AW-7,Office 9,482,https://PARTSBOX.COM/I08VXKVYFG8KHZ8B34HG5MAQKMX,,3
ADP-SMBM-BNCM,ADAPTOR BNC PLUG TO SMB MALE;,,RF Solutions,ADP-SMBM-BNCM,shelf3,4,https://PARTSBOX.COM/IA6WT1868Y6HNDB0HQVEMVFZ3HG,,3
NPCA-CW308T-D2000,UFO Target Intel D2000 UNTESTED,,,,shelf2,7,https://PARTSBOX.COM/I5XV77WDDKJJ2XAD59NAQZ9F8DS,,3
SOCKET-QFN32 (790-62032-101G),"Sensata QFN32 (32-pin QFN) socket, with Thermal pin, 790-62032-101G",,Sensata,790-62032-101G,,0,https://PARTSBOX.COM/I8SDEZS6G1GGAB9NXQG8D6E79V9,,3
NPCB-CW308T-STM32F-CSP-02,UFO TARGET WLCSP PCB,,,,PROTO,200,https://PARTSBOX.COM/IAQ14R0GKDMJ169EMJTBNR3D6ZW,,3
NAE-CW308T-S6LX9-03,Programmable Logic IC Development Tools Spartan 6LX9 FPGA Target for CW308 (TESTED),,,,shelf5,40,https://PARTSBOX.COM/ICXY4SFQ4AMK368VGNV459AG518,,33
TL431CDBZT,V-Ref Adjustable 2.495V to 36V 100mA 3-Pin SOT-23 T/R,,Texas Instruments,TL431CDBZT,shelf3,27,https://PARTSBOX.COM/I7J2HG5BN7WGJ7AJB5JRSJ0Y9N0,,3
RCHIP-2R0-0603 (RC0603FR-072RL),YAGEO RC0603FR-072RL / RES 2.00 OHM 1/10W 1% 0603 SMD,,Yageo,RC0603FR-072RL,Office 9,3900,https://PARTSBOX.COM/IA49P80M0EEGA89FTWDE1V5GYB3,,3
NAE-CW308T-STM32F4HWC,Development Boards & Kits - ARM STM32F4 w/ Hardware Crypto Target for CW308 (TESTED),,,,shelf5,1,https://PARTSBOX.COM/IBVDZ69GAXGHYX9AQQAGJGGDMZ5,,3
MR3010H05B1-RSR,Fan Axial 30X10MM Ball 5VDC Wire,,Mechatronics,MR3010H05B1-RSR,shelf3,30,https://PARTSBOX.COM/I4QH9YJXK2MHRKAMZPC0N3W8JJG,,3
GRM188R61C106MAALD,"Multilayer Ceramic Capacitor, 10 uF, 16 V, ï¿½ 20%, X5R, 0603 [1608 Metric]",,Murata,GRM188R61C106MAALD,Office 9,487,https://PARTSBOX.COM/IA4QNNQ5ZG0KK69H5H2K97NRPKW,CCHIP-10uf-0603-16V,3
312007-01,Cable Assembly AC Power 2m NEMA 5-15P to C13 3 to 3 POS M-F 18AWG,,Qualtek,312007-01,packaging area,10,https://PARTSBOX.COM/I1MMQW7AXHPGECA04DVE20SF272,,3
929852-01-15-RA,"Boardmount socket; .100"" and .100"" × .100"" Straight; Solder Tails",,3M,929852-01-15-RA,,0,https://PARTSBOX.COM/I6W04X4FA0GGWBBD8MZ8S00KD5F,,33
RCHIP-120R-0603 (ERJPA3F1200V),Res Thick Film 0603 120 Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD Automotive T/R,,Panasonic,ERJPA3F1200V,,0,https://PARTSBOX.COM/IE18BGSVJARH94BWYGY59ST4755,,3
NAE-CW312TADPT,5x CW312 Breakout/Adapter PCBs,,,,,0,https://PARTSBOX.COM/I6VG5GYJWZMH388Y1YZYTJ3DN49,,3
ABM8G-12.000MHZ-4Y-T3,Crystal 12MHz Â±30ppm (Tol) Â±30ppm (Stability) 10pF FUND 120Ohm 4-Pin Mini-CSMD T/R,4-SMD,Abracon,ABM8G-12.000MHZ-4Y-T3,Office 9,2745,https://PARTSBOX.COM/I72KXSKM47WJFK9ZDJRXH63V29K,,3
NPCA-PicoEmp,PicoEmp (TESTED),,,,,0,https://PARTSBOX.COM/IFWBGTGVPRAJP5B1MQFBTDFX5B2,,3
NLABEL-CW520-ENCLOSURE (BOTTOM),CHIPSHOUTER LABEL BOTTOM LABEL,,,,shelf3,100,https://PARTSBOX.COM/IDPSK10S08YG42BVDSSG74XGPNQ,,3
PACKAGING TAPES CLEAR,,,,,packaging area,18,https://PARTSBOX.COM/IEQ698AW48GKQ9AY6NX2MYD2YF0,,33
NLABEL-CW1200(SERIAL),CW1200-UNIT-SERIAL LABEL,,,,shelf3,20,https://PARTSBOX.COM/I1GG3QSTXX6JRX90150MB88VZ0F,,3
NBOX-BLACK  (37052) (37052),BLACK BOX (PROTEKTIVE PAK): PROTECTIVE PACK,,Protektive Pak,37052,large storage room,77,https://PARTSBOX.COM/IAXC414PXQYHCR93FR6K2MFJ8CS,,3
EFR32MG21A020F1024IM32-BR,IC MCU 2.4G 20DB MULTIPROTOCOL,,Silicon Labs,EFR32MG21A020F1024IM32-BR,,0,https://PARTSBOX.COM/I1QPKEP5HGAG8VBFAYH4GXN3NHR,,4
NAE-CW520-KIT,Other Modules ChipSHOUTER Electromagnetic Fault Injection (EMFI) Kit,,,,shelf5,1,https://PARTSBOX.COM/I2942VQE8WEGQA8QMB6ZBGSXWP4,,4
ATSAM4LC2AA-AUR,MCU 32-Bit SAM4L ARM Cortex M4 RISC 128KB Flash 1.8V/3.3V 48-Pin TQFP T/R - Tape and Reel,,Microchip,ATSAM4LC2AA-AUR,Office 9,1,https://PARTSBOX.COM/I6K8GQSSC00JNVAA0YK6ZVSM88T,,4
RCHIP-120R-0603_A (RC0603FR-07120RL),Res Thick Film 0603 120 Ohm 1% 0.1W(1/10W) }100ppm/ Molded SMD Paper T/R,603,Yageo,RC0603FR-07120RL,Office 9,996,https://PARTSBOX.COM/I3R1DXQ58PYJKS9VTPMJK9YC5Z0,,4
STM32G484RET6,MCU 32-Bit STM32G484 ARM Cortex-M4 RISC 512KB Flash 1.71V to 3.6V 64-Pin LQFP Tray,,STMicroelectronics,STM32G484RET6,Office 9,64,https://PARTSBOX.COM/IFNNC9H608AKJF9HKAWM9BHEV8W,,4
NAE-CW503-03,CW503 Probe Power Supply TESTED,,,,,0,https://PARTSBOX.COM/I9R62G07AB0KDVA12WYYBAZRH8P,,
5-1814400-2,"RF SMA Connector, 1 Contact(s), Female, Board Mount, Solder Terminal, Locking, Jack",,TE Connectivity,5-1814400-2,,0,https://PARTSBOX.COM/I3EYCYV7ZHMKVM9QCYKDFYF79ZD,,
512-26-6600-BL-0007F,Cable Assembly Modular 2.13m 26AWG Modular Plug to Modular Plug 6 to 6 POS PL-PL Crimp-Crimp Carton,,CNC Tech,512-26-6600-BL-0007F,shelf3,3,https://PARTSBOX.COM/I4ZK2THRFMAKJ6B4M2VSW3A3X6S,,
STM32F415RGT6TR,"RISC Microcontroller, 32-Bit, FLASH, CORTEX-M4 CPU, 168MHz, CMOS, PQFP64",,STMicroelectronics,STM32F415RGT6TR,,0,https://PARTSBOX.COM/I4DQESZS416HHPAZ89TC52V7SDX,,
LTL-4231N,Green 3 mm 60° Tinted Diffused 12.6 mcd 2.1 V LED Through Hole,P=2.54,Lite-On,LTL-4231N,shelf3,50,https://PARTSBOX.COM/IAH2H11BG8MHJ79WF5E29M1X00F,,
TPS56520PWP,Conv DC-DC 4.5V to 17V Synchronous Step Down Single-Out 0.6V to 1.87V 5A 20-Pin HTSSOP EP Tube,,Texas Instruments,TPS56520PWP,Office 9,19,https://PARTSBOX.COM/IF0QG1VRPT2H0G8W336X1KE5E2C,,
NSLEEVE-CW308-04 (FRONT COVER),UFO KIT SLEEVE COVER,,,,packaging area,52,https://PARTSBOX.COM/IE6B6BZ7TSJKKG8M97KXVVMMD3A,,
73366-0061,RF Connectors / Coaxial Connectors MCX ST PCB-JCK STD T/H .073L,,Molex,73366-0061,shelf3,6,https://PARTSBOX.COM/IB22D6XRKD4HAH8WSZ8KCQAGMWX,,
NPCA-ARTIX-CW305-04-7A100,"PCA for CW305, 7A100 Variant",,,,shelf2,6,https://PARTSBOX.COM/I4412Z5MNWWGKFAHE7AD5R0V1MN,,
NAE-CW308T-STM32F1,Development Boards & Kits - ARM STM32F1 Target for CW308 (TESTED),,,,shelf5,14,https://PARTSBOX.COM/I7GNQDTYM7RGW49JCSHBFT1X71B,,
960-23-23-D-AB-0,Heat Sinks HEATSINK 23X23MM DIAGONAL PLASTIC PUSH PIN,,Wakefield-Vette,960-23-23-D-AB-0,,0,https://PARTSBOX.COM/I9B1M37T8CTHMT8XDHKQHA97VD2,,
NLABEL-INJECTION PROBE TIPS,Chipshouter injection probe tips label,,,,shelf3,30,https://PARTSBOX.COM/I56E0NFPTQ6GBF9CSTQT361ZRX9,,
NPCA-CW1200-UNIT,Main PCA for CW1200 COMPLETE UNIT (TESTED),,,,,0,https://PARTSBOX.COM/ICRH92Q546AJDXA1NHHHM6T5PYH,,
CB-MCX-BNC-6,"MCX to BNC Cable, 15cm (6"")",,,,,0,https://PARTSBOX.COM/ICRAW3S4PD0HNCAR4WB9KCYPBV5,,
920-0010-01,"PROTOBOARD,7"" JUMPERS BLACK(female-female)",,SchmartBoard,920-0010-01,,0,https://PARTSBOX.COM/IFX95PPBA9RGER8K2D720BAFYJ1,,
NPCA-CW308T-MPC5748G,"UFO Target, MPC5748G UNTESTED",,,,shelf2,6,https://PARTSBOX.COM/I8G7MYCHJCYG2YBW6ZHEKAMYPD9,,
NPCA-CW309,MINI UFO BOTTOM,,,,shelf1,36,https://PARTSBOX.COM/IDT997GBS78HKE87H6X5S5QHRZP,,
STM32F303K8T6,MCU 32-Bit STM32 ARM Cortex M4 RISC 64KB Flash 2.5V/3.3V 32-Pin LQFP Tray,,STMicroelectronics,STM32F303K8T6,shelf3,8,https://PARTSBOX.COM/I8FA3G6JNK0GR8B5VJ11S9W2AJ6,,
NCASE-PHYWHISPERER-USB (C12922M),MAIN ENCLOSURE(BLUE) - Hammond C12922M,,Hammond,C12922M,shelf3,4,https://PARTSBOX.COM/IE669PDDMNEJ5WAYQQ94T1RZ145,,
90295A320 (OFF-WHITE) (90295A320),"Nylon Plastic Washer for Number 2 Screw Size, 0.094"" ID, 0.188"" OD",,,90295A320,shelf3,68,https://PARTSBOX.COM/I7VF7M08VTYHYF8Y6B547FCRNQG,,
0ZCJ0100FF2E,PTC Resettable Fuse 1A(hold) 1.8A(trip) 6VDC 100A 0.6W 0.3s 0.55Ohm SMD Solder Pad 3.5 X 1.8 X 1mm T/R,,Bel Fuse,0ZCJ0100FF2E,Office 9,847,https://PARTSBOX.COM/IF39ZEVNJE2HHNBEXWY8DYJR8J5,,
PCBPAW-440,PCB Paws for ChipShover (XY Foot),,,,shelf3,95,https://PARTSBOX.COM/IB90WZ3J5A2J0V8BA07RWWEYAY2,,
US1J-13-F,Rectifier Ultra-Fast Recovery Gpp Sma 1.0A 600V Rohs 5K Rohs Compliant: Yes,,Diodes Inc.,US1J-13-F,Office 9,900,https://PARTSBOX.COM/IBRVQZNRAJ2JNN89095SWJ6WVHG,,
RCHIP-2K-0603 (RC0603FR-072KL),RC Series 0603 0.1 W 2 kOhms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,603,Yageo,RC0603FR-072KL,Office 9,1443,https://PARTSBOX.COM/I14ZJPK8ZRWJ9781911PQFS9F3B,,
5011,Test Point; Black; Thru-Hole; Snap-Fit; SilverPlate; 0.063in. Dia.; 0.445In.,,Keystone,5011,shelf3,200,https://PARTSBOX.COM/I96FHTAYZP2KYCB5ADGD1AM5QPW,,
73412-0110 (Molex) (73412-0110),"Microcoaxial RF, 50 Ohm, PCB Vertical Jack Receptacle, SMT, 1.25mm (.049"""") Mounted Height",,Molex,73412-0110,Parts Kit: ChipSHOUTER SMT,9,https://PARTSBOX.COM/I0TKVKQNZFAK779ZG69YJHETCHV,,
SFH11-PBPC-D10-RA-BK,20 Position Total Dual Row 2.54 mm Pitch Right Angle Female Box Header,,Sullins,SFH11-PBPC-D10-RA-BK,,0,https://PARTSBOX.COM/ICHY350T8AYJWMBD4F19GRNFD9N,,
2260 IT,Small XY Table,,,,shelf3,10,https://PARTSBOX.COM/IE25G4K1JRGG0Z9AW5D04WNVNZK,,
BIG FERRITE,FERRITE THICKER (4MM/CCW & 4MM/CW),,,,shelf3,1470,https://PARTSBOX.COM/ICYXHW1WFB4G4K8MN084NJJ4XRW,,
SOCKET-100LQFP (3014-100-6-08),"Ic Socket, Tqfp, 100 Position, 0.5Mm; No. Of Contacts:100Contacts; Connector Type:tqfp Socket; Pitch Spacing:0.5Mm; Product Range:3000 Series; Row Pitch:-; Contact Material:beryllium Copper; Contact Plating:gold Plated Contacts Rohs Compliant: Yes",,WELLS-CTI,3014-100-6-08,Office 9,79,https://PARTSBOX.COM/I55N26HGC0EG5EBNSRFFE2XWXTM,,
STM32F071RBT6,"Mainstream ARM Cortex-M0 Access line MCU with 128 Kbytes Flash, 48 MHz CPU and CEC functions",,STMicroelectronics,STM32F071RBT6,,0,https://PARTSBOX.COM/IAZ6CMFMC9PGJZAGPFX6ECYXFAT,,
NPCB-FET-PROBE,PROTO,,,,PROTO,10,https://PARTSBOX.COM/ICEF22QW0Y4G1D8TCT08QGHZRQN,,
CB-USB-C-C-36BLK (38916),"USB-C, 3 feet, black, MP 38916 - Monoprice Select Charge & Sync Type-C to Type-C Cable, USB 2.0, TPE Jacket, Up to 3A/60W, 3ft, Black",,Monoprice,38916,,0,https://PARTSBOX.COM/I0GF588Y7CYGQF89BVJTP269NW7,,
NBOX-BROWN-10X10X12 (S-4520),BROWN BOX CORRUGATED BOXES,,,S-4520,large storage room,68,https://PARTSBOX.COM/IBFF7WSXZZJG76AQQAC5YNCHNMF,,
CON20HDR-IROW-01 (68000-220HLF),Conn Unshrouded Header HDR 20 POS 2.54mm Solder ST Top Entry Thru-Hole Bulk,,Amphenol Communications Solutions,68000-220HLF,shelf3,131,https://PARTSBOX.COM/I4QQNRQB63YK7F8B7N63CK1YZCA,,
11_MCX-50-2-19/111_NH,"Rf Coax Conn, Plug, Cable, 50 Ohm Rohs Compliant: Yes |Huber+Suhner 11_MCX-50-2-19/111_NH",,Huber+Suhner,11_MCX-50-2-19/111_NH,shelf3,117,https://PARTSBOX.COM/I3B67BNKAQRHYE8HWZ84RRW4E37,,
145101-01-36.00,Cable Assemblies; Smb Straight Plug to Smb Straight Plug; Rg 316; 36 Inches,,Amphenol RF,145101-01-36.00,,0,https://PARTSBOX.COM/IBK8G8VXEGJKBB9JXNFPK9HP0FF,,
RCHIP-270K-0603 (RC0603FR-07270KL),Res Thick Film 1.6 x 0.8 mm 270K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-07270KL,Office 9,4000,https://PARTSBOX.COM/IBA9YYAGW5RK9GA0G1DYERWJDHV,,
SN65LVDS1DBVR,LVDS Interface IC High Speed Diff Line RoHS: Compliant 2974 1$1.5300 10$1.2300 100$0.9460,,Texas Instruments,SN65LVDS1DBVR,"Office 9,Parts Kit: ChipSHOUTER SMT",506,https://PARTSBOX.COM/I7P2YX5CM8CKMVA8X8R6YM36M7F,,
SN74LVC1T45DBVR,1-Bit Bus Transceiver Translation SOT23,SOT-23-6,Texas Instruments,SN74LVC1T45DBVR,"Bittele - Consigned Parts,Office 9",5310,https://PARTSBOX.COM/IB1YGA3R6DAKMAAK1ANYPVB5XTQ,,
HSHRINK-BLACK-5,5/32x3/64x10' BLACK,,,,shelf4,1,https://PARTSBOX.COM/I54PJ94NZCJHYM9S7J6W4ZMMJ6G,,
66953-015LF,Conn Socket Strip SKT 30 POS 2.54mm Solder ST Top Entry Thru-Hole Tube,,Amphenol Communications Solutions,66953-015LF,,0,https://PARTSBOX.COM/IDJ55YQ4VC2G1X894S08VVSK2BH,,
